 
****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : SIPISOALU_generic_nbit32
Version: Z-2007.03-SP1
Date   : Thu Apr 28 12:13:42 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
SIPISOALU_generic_nbit32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
control                  881.4208       N/A        N/A (N/A)   9222.3418  h
add_89                    59.7884       N/A        N/A (N/A)   9973.6084  h
SIPO_reg[0]               20.7804    1.6522     22.433 (93%)     93.3257   
PIPO_reg[22]              19.9873    0.4635     20.451 (98%)     92.9885   
PIPO_reg[1]               19.9610    0.9090     20.870 (96%)     92.9597   
PIPO_reg[12]              19.9591    0.4459     20.405 (98%)     92.9273   
PIPO_reg[11]              19.9589    0.4375     20.396 (98%)     92.9763   
PIPO_reg[4]               19.9497    0.5060     20.456 (98%)     92.9902   
PIPO_reg[3]               19.9331    0.5216     20.455 (97%)     93.0324   
PIPO_reg[15]              19.9214    0.4473     20.369 (98%)     92.9456   
PIPO_reg[0]               19.9141    0.4853     20.399 (98%)     92.9758   
PIPO_reg[24]              19.9124    0.3961     20.309 (98%)     92.9585   
PIPO_reg[7]               19.9081    0.6164     20.524 (97%)     93.0012   
PIPO_reg[23]              19.9067    0.4596     20.366 (98%)     93.0007   
PIPO_reg[2]               19.8996    0.5567     20.456 (97%)     92.9913   
PIPO_reg[13]              19.8978    0.6230     20.521 (97%)     93.0655   
PIPO_reg[8]               19.8943    0.3807     20.275 (98%)     92.9929   
PIPO_reg[5]               19.8907    0.5782     20.469 (97%)     92.9445   
PIPO_reg[10]              19.8827    0.4276     20.310 (98%)     92.9965   
PIPO_reg[21]              19.8756    0.4903     20.366 (98%)     92.9915   
PIPO_reg[9]               19.8743    0.3976     20.272 (98%)     93.0992   
PIPO_reg[6]               19.8591    0.6314     20.491 (97%)     93.0638   
PIPO_reg[20]              19.8460    0.4971     20.343 (98%)     93.1160   
SIPO_reg[1]               19.6441    0.5960     20.240 (97%)     92.4105   
PIPO_reg[14]              19.4193    0.6656     20.085 (97%)     80.7881   
PIPO_reg[30]              19.4080    0.4178     19.826 (98%)     80.8402   
PIPO_reg[16]              19.4004    0.5265     19.927 (97%)     80.6911   
PIPO_reg[25]              19.3964    0.3907     19.787 (98%)     80.7418   
PIPO_reg[19]              19.3947    0.4479     19.843 (98%)     80.7188   
PIPO_reg[31]              19.3893    0.3399     19.729 (98%)     80.7038   
PIPO_reg[26]              19.3881    0.4466     19.835 (98%)     80.7325   
PIPO_reg[28]              19.3874    0.4035     19.791 (98%)     80.7790   
PIPO_reg[17]              19.3782    0.3939     19.772 (98%)     80.7344   
PIPO_reg[18]              19.3619    0.4368     19.799 (98%)     80.7166   
PIPO_reg[29]              19.3581    0.3829     19.741 (98%)     80.7260   
PIPO_reg[27]              19.3425    0.3764     19.719 (98%)     80.7253   
SIPO_reg[2]               19.1308    0.3521     19.483 (98%)     91.8667   
SIPO_reg[3]               18.8319    0.1804     19.012 (99%)     91.5694   
SIPO_reg[4]               18.6764    0.1487     18.825 (99%)     91.3854   
SIPO_reg[5]               18.5822    0.0737     18.656 (100%)    91.2515   
SIPO_reg[6]               18.5019    0.0283     18.530 (100%)    91.1844   
SIPO_reg[7]               18.4560    0.0177     18.474 (100%)    91.1541   
SIPO_reg[8]               18.4455    0.0130     18.459 (100%)    91.1560   
SIPO_reg[9]               18.4324    0.0116     18.444 (100%)    91.1477   
SIPO_reg[10]              18.4268 9.054e-03     18.436 (100%)    91.1445   
SIPO_reg[11]              18.4256 8.577e-03     18.434 (100%)    91.1421   
SIPO_reg[12]              18.4230 9.083e-03     18.432 (100%)    91.1402   
SIPO_reg[14]              18.4212 7.086e-03     18.428 (100%)    91.1398   
SIPO_reg[19]              18.4201 7.429e-03     18.428 (100%)    91.1386   
SIPO_reg[20]              18.4201 6.834e-03     18.427 (100%)    91.1386   
PISO_reg[1]               17.9600 2.871e-03     17.963 (100%)    79.3835   
PISO_reg[0]               17.9600 1.673e-03     17.962 (100%)    79.3835   
SIPO_reg[27]              17.9573 5.774e-03     17.963 (100%)    79.3835   
SIPO_reg[28]              17.9573 5.674e-03     17.963 (100%)    79.3835   
SIPO_reg[29]              17.9573 5.674e-03     17.963 (100%)    79.3835   
SIPO_reg[30]              17.9573 3.571e-03     17.961 (100%)    79.3835   
SIPO_reg[15]              17.9564 8.259e-03     17.965 (100%)    79.3840   
SIPO_reg[13]              17.9557 9.729e-03     17.965 (100%)    79.3842   
SIPO_reg[16]              17.9551 5.659e-03     17.961 (100%)    79.3836   
SIPO_reg[17]              17.9546 6.355e-03     17.961 (100%)    79.3835   
SIPO_reg[21]              17.9546 6.338e-03     17.961 (100%)    79.3835   
SIPO_reg[25]              17.9546 6.302e-03     17.961 (100%)    79.3835   
SIPO_reg[24]              17.9546 5.674e-03     17.960 (100%)    79.3835   
SIPO_reg[22]              17.9544 6.338e-03     17.961 (100%)    79.3835   
SIPO_reg[23]              17.9544 5.674e-03     17.960 (100%)    79.3835   
PISO_reg[4]               17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[6]               17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[11]              17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[13]              17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[16]              17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[17]              17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[20]              17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[21]              17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[22]              17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[23]              17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[24]              17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[25]              17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[3]               17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[5]               17.9543 3.073e-03     17.957 (100%)    79.3835   
PISO_reg[8]               17.9543 3.098e-03     17.957 (100%)    79.3835   
PISO_reg[2]               17.9543 2.905e-03     17.957 (100%)    79.3835   
SIPO_reg[18]              17.9446 2.979e-03     17.948 (100%)    79.3690   
SIPO_reg[26]              17.9446 2.979e-03     17.948 (100%)    79.3690   
PISO_reg[7]               17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[12]              17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[15]              17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[28]              17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[29]              17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[30]              17.6590 3.073e-03     17.662 (100%)   115.2632   
PISO_reg[9]               17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[10]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[14]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[18]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[19]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[26]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[27]              17.6590 3.098e-03     17.662 (100%)   115.2632   
PISO_reg[31]              17.6404    0.0000     17.640 (100%)   115.2457   
U869                       2.9696    2.6363      5.606 (53%)     11.2141   
U870                       2.9133    1.7080      4.621 (63%)     11.2141   
U871                       2.9133    1.7080      4.621 (63%)     11.2141   
U872                       2.5569   18.9153     21.472 (12%)     11.2141   
U873                       2.5534   18.0455     20.599 (12%)     11.2141   
U877                       2.5530   17.3344     19.887 (13%)     11.2141   
U876                       2.5494   16.5380     19.087 (13%)     11.2141   
U878                       2.5471   16.0296     18.577 (14%)     11.2141   
U874                       2.5359    6.6170      9.153 (28%)     11.2141   
U875                       2.4929    3.2185      5.711 (44%)     11.2141   
U640                       2.3550   73.9260     76.281 (3%)      28.7064   
U636                       2.1196    6.0961      8.216 (26%)     35.4529   
U638                       2.1196    6.0354      8.155 (26%)     35.4529   
U635                       2.1196    6.0289      8.148 (26%)     35.4529   
U637                       2.1194    5.6110      7.730 (27%)     35.4529   
U639                       2.1191    5.4989      7.618 (28%)     35.4529   
U827                       2.0482    2.8927      4.941 (41%)     40.3166   
U631                       1.1938    0.9466      2.140 (56%)     14.3532   
U735                       1.0653    2.1160      3.181 (33%)     20.0469   
U736                       1.0653    2.1160      3.181 (33%)     20.0469   
U737                       1.0653    2.1160      3.181 (33%)     20.0469   
U740                       1.0653    2.1160      3.181 (33%)     20.0469   
U738                       1.0640    2.1160      3.180 (33%)     20.0469   
U739                       1.0640    2.1160      3.180 (33%)     20.0469   
U630                       0.9520    0.4656      1.418 (67%)     22.2573   
U734                       0.8892    3.2213      4.111 (22%)     10.2136   
U879                       0.8255    2.9748      3.800 (22%)     12.4858   
U641                       0.8090    5.9779      6.787 (12%)     34.1968   
U867                       0.8073    5.5243      6.332 (13%)     34.1968   
U868                       0.8073    5.5243      6.332 (13%)     34.1968   
U848                       0.7029    0.2786      0.982 (72%)     36.1141   
U749                       0.4693    0.1901      0.659 (71%)     36.6995   
U826                       0.4639    0.1877      0.652 (71%)     36.7259   
U757                       0.4635    0.1877      0.651 (71%)     36.6956   
U775                       0.4629    0.2273      0.690 (67%)     36.6841   
