****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : sipisoAluControl_generic
Version: Z-2007.03-SP1
Date   : Mon Apr 25 12:46:27 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
sipisoAluControl_generic
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
CURRENT_STATE_reg[1]       3.9244    4.2890      8.213 (48%)    119.6156   
CURRENT_STATE_reg[2]       3.6974    3.6506      7.348 (50%)    119.1447   
CURRENT_STATE_reg[0]       3.4646    2.5777      6.042 (57%)     82.8296   
U162                       2.3878   21.4464     23.834 (10%)     84.7981   
U164                       2.3473   47.6037     49.951 (5%)      69.5732   
U251                       2.2900    0.5855      2.876 (80%)     34.1223   
U250                       2.2609    0.5757      2.837 (80%)     35.9973   
U249                       2.2507    0.5706      2.821 (80%)     34.0990   
U252                       2.2294    0.5831      2.813 (79%)     30.0084   
current_counter_reg[0]     2.1715    0.0949      2.266 (96%)     80.5540   
current_counter_reg[1]     1.8811    0.0137      1.895 (99%)     79.6111   
CURRENT_STATE_reg[3]       1.8781    0.0179      1.896 (99%)     79.5297   
current_counter_reg[2]     1.8051 4.047e-04      1.805 (100%)    79.3793   
current_counter_reg[5]     1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[8]     1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[9]     1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[13]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[14]    1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[17]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[18]    1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[21]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[22]    1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[25]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[26]    1.8032 5.819e-04      1.804 (100%)    79.3713   
current_counter_reg[29]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[31]    1.8032 5.754e-04      1.804 (100%)    79.3713   
current_counter_reg[7]     1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[10]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[12]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[16]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[20]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[24]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[28]    1.8032 5.628e-04      1.804 (100%)    79.3713   
current_counter_reg[6]     1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[11]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[15]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[19]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[23]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[27]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[30]    1.8032 5.411e-04      1.804 (100%)    79.3713   
current_counter_reg[3]     1.8032    0.0000      1.803 (100%)    79.3713   
current_counter_reg[4]     1.8032    0.0000      1.803 (100%)    79.3713   
U263                       1.5340    0.3647      1.899 (81%)     37.6367   
U268                       1.5340    0.3647      1.899 (81%)     37.6367   
U273                       1.5340    0.3647      1.899 (81%)     37.6367   
U278                       1.5340    0.3647      1.899 (81%)     37.6367   
U283                       1.5340    0.3647      1.899 (81%)     37.6367   
U288                       1.5340    0.3647      1.899 (81%)     37.6367   
U293                       1.5340    0.3647      1.899 (81%)     37.6367   
U298                       1.5340    0.3647      1.899 (81%)     37.6367   
U303                       1.5340    0.3647      1.899 (81%)     37.6367   
U308                       1.5340    0.3647      1.899 (81%)     37.6367   
U313                       1.5340    0.3647      1.899 (81%)     37.6367   
U318                       1.5340    0.3647      1.899 (81%)     37.6367   
U323                       1.5340    0.3647      1.899 (81%)     37.6367   
U328                       1.5340    0.3647      1.899 (81%)     37.6367   
U333                       1.5340    0.3647      1.899 (81%)     37.6367   
U338                       1.5340    0.3647      1.899 (81%)     37.6367   
U343                       1.5340    0.3647      1.899 (81%)     37.6367   
U348                       1.5340    0.3647      1.899 (81%)     37.6367   
U353                       1.5340    0.3647      1.899 (81%)     37.6367   
U358                       1.5340    0.3647      1.899 (81%)     37.6367   
U363                       1.5340    0.3647      1.899 (81%)     37.6367   
U368                       1.5340    0.3647      1.899 (81%)     37.6367   
U373                       1.5340    0.3647      1.899 (81%)     37.6367   
U378                       1.5340    0.3647      1.899 (81%)     37.6367   
U383                       1.5340    0.3647      1.899 (81%)     37.6367   
U388                       1.5340    0.3647      1.899 (81%)     37.6367   
U393                       1.5340    0.3647      1.899 (81%)     37.6367   
U398                       1.5340    0.3647      1.899 (81%)     37.6367   
U403                       1.5340    0.3647      1.899 (81%)     37.6367   
U408                       1.5340    0.3647      1.899 (81%)     37.6367   
U413                       1.5340    0.3647      1.899 (81%)     37.6367   
U418                       1.5340    0.3647      1.899 (81%)     37.6367   
U422                       1.4950    0.5840      2.079 (72%)     31.7864   
U244                       1.4383    0.3566      1.795 (80%)     35.6349   
U259                       1.4078    0.4070      1.815 (78%)     33.3120   
U421                       1.4046    0.3475      1.752 (80%)     33.1516   
U280                       1.3945    0.3264      1.721 (81%)     35.5980   
U315                       1.3945    0.3264      1.721 (81%)     35.5980   
U320                       1.3945    0.3264      1.721 (81%)     35.5980   
U325                       1.3945    0.3264      1.721 (81%)     35.5980   
U330                       1.3945    0.3264      1.721 (81%)     35.5980   
U335                       1.3945    0.3264      1.721 (81%)     35.5980   
U340                       1.3945    0.3264      1.721 (81%)     35.5980   
U345                       1.3945    0.3264      1.721 (81%)     35.5980   
U350                       1.3945    0.3264      1.721 (81%)     35.5980   
U355                       1.3945    0.3264      1.721 (81%)     35.5980   
U370                       1.3945    0.3264      1.721 (81%)     35.5980   
U375                       1.3945    0.3264      1.721 (81%)     35.5980   
U380                       1.3945    0.3264      1.721 (81%)     35.5980   
U385                       1.3945    0.3264      1.721 (81%)     35.5980   
U390                       1.3945    0.3264      1.721 (81%)     35.5980   
U395                       1.3945    0.3264      1.721 (81%)     35.5980   
U400                       1.3945    0.3264      1.721 (81%)     35.5980   
U405                       1.3945    0.3264      1.721 (81%)     35.5980   
U410                       1.3945    0.3264      1.721 (81%)     35.5980   
U415                       1.3945    0.3264      1.721 (81%)     35.5980   
U260                       1.3894    0.3264      1.716 (81%)     35.5980   
U265                       1.3894    0.3264      1.716 (81%)     35.5980   
U270                       1.3894    0.3264      1.716 (81%)     35.5980   
U275                       1.3894    0.3264      1.716 (81%)     35.5980   
U285                       1.3894    0.3264      1.716 (81%)     35.5980   
U290                       1.3894    0.3264      1.716 (81%)     35.5980   
U295                       1.3894    0.3264      1.716 (81%)     35.5980   
U300                       1.3894    0.3264      1.716 (81%)     35.5980   
U305                       1.3894    0.3264      1.716 (81%)     35.5980   
U310                       1.3894    0.3264      1.716 (81%)     35.5980   
U360                       1.3894    0.3264      1.716 (81%)     35.5980   
U365                       1.3894    0.3264      1.716 (81%)     35.5980   
U245                       1.3813    0.3448      1.726 (80%)     35.3769   
U256                       1.3771    0.3304      1.708 (81%)     31.0836   
U255                       1.3505    0.3387      1.689 (80%)     33.3233   
U247                       1.3489    0.3940      1.743 (77%)     29.7913   
U240                       1.3479    0.8795      2.227 (61%)     36.3759   
U264                       1.3379    0.3518      1.690 (79%)     31.5426   
U269                       1.3379    0.3518      1.690 (79%)     31.5426   
U274                       1.3379    0.3518      1.690 (79%)     31.5426   
U279                       1.3379    0.3518      1.690 (79%)     31.5426   
U284                       1.3379    0.3518      1.690 (79%)     31.5426   
U289                       1.3379    0.3518      1.690 (79%)     31.5426   
U294                       1.3379    0.3518      1.690 (79%)     31.5426   
U299                       1.3379    0.3518      1.690 (79%)     31.5426   
U304                       1.3379    0.3518      1.690 (79%)     31.5426   
U309                       1.3379    0.3518      1.690 (79%)     31.5426   
U314                       1.3379    0.3518      1.690 (79%)     31.5426   
U319                       1.3379    0.3518      1.690 (79%)     31.5426   
U324                       1.3379    0.3518      1.690 (79%)     31.5426   
U329                       1.3379    0.3518      1.690 (79%)     31.5426   
U334                       1.3379    0.3518      1.690 (79%)     31.5426   
U339                       1.3379    0.3518      1.690 (79%)     31.5426   
U344                       1.3379    0.3518      1.690 (79%)     31.5426   
U349                       1.3379    0.3518      1.690 (79%)     31.5426   
U354                       1.3379    0.3518      1.690 (79%)     31.5426   
U359                       1.3379    0.3518      1.690 (79%)     31.5426   
U364                       1.3379    0.3518      1.690 (79%)     31.5426   
U369                       1.3379    0.3518      1.690 (79%)     31.5426   
U374                       1.3379    0.3518      1.690 (79%)     31.5426   
U379                       1.3379    0.3518      1.690 (79%)     31.5426   
U384                       1.3379    0.3518      1.690 (79%)     31.5426   
U389                       1.3379    0.3518      1.690 (79%)     31.5426   
U394                       1.3379    0.3518      1.690 (79%)     31.5426   
U399                       1.3379    0.3518      1.690 (79%)     31.5426   
U404                       1.3379    0.3518      1.690 (79%)     31.5426   
U409                       1.3379    0.3518      1.690 (79%)     31.5426   
U414                       1.3379    0.3518      1.690 (79%)     31.5426   
U419                       1.3379    0.3518      1.690 (79%)     31.5426   
